1 every | The windshield catches every passing light,
1 every | And every single mile feels lighter than the last one did,
1 light | The windshield catches every passing light,
1 light | And every single mile feels lighter than the last one did,
2 every | Every worry falls away,
2 before | One more look before I leave it,
2 light | The hallway light flickers twice and settles,
3 every | Everyone still humming softly,
3 every | Guiding every friend back toward the rest of the ordinary afternoon.
3 light | And afternoon sunlight cuts a bright path across the empty rows of seats,
3 light | Back Into the Light,
3 light | The marquee bulbs are burning in the daylight,
3 light | Back Into the Light,
3 light | Back Into the Light,
3 light | Back Into the Light.
3 still | Popcorn dust still drifting in the air,
3 still | Surprised the whole town's still out there.
3 still | Everyone still humming softly,
3 still | Still humming the old tune.
4 every | Every letter on that jukebox glass,
4 before | She's seen this kind of quiet before,
5 every | Let every friend here take a picture,
5 every | Every friend here shares the prize,
5 light | The polished lane still shines beneath the light,
5 still | The polished lane still shines beneath the light,
5 still | The scoreboard still is glowing by the door,
6 before | You cross the floor before I say a word,
6 light | A face I'd know in any kind of light.
7 every | Every light below could be a wish,
7 every | Every turn brings something steadier,
7 light | The fair lights shrink to little colored stars,
7 light | Ribbons of light strung out along the ground,
7 light | Look at the lights ahead.
7 light | Every light below could be a wish,
7 light | Look at the lights ahead.
8 every | Past every town I used to know,
8 every | Every mile feels lighter now,
8 light | The water carries lantern light in ripples,
8 light | The stern lights swing a little with the current,
8 light | Every mile feels lighter now,
8 still | And wonder what could still be waiting for.
9 every | The scoreboard still holds every number from the game,
9 light | The field lights click off one by one,
9 light | Their flashlights swinging low across the grass,
9 light | Leaving only the pale moon to light the diamond floor,
9 light | The last light on the field goes out,
9 still | Peanut shells still scattered all around our feet,
9 still | The scoreboard still holds every number from the game,
10 every | As everyone gets settled in for the show,
10 every | Hold onto every crackled second,
10 before | One more scene before we go,
10 light | A line of headlights dims out row by row,
10 light | And tuck the blanket tighter as the light goes low.
10 light | The lot lights up in silver-blue,
10 still | The hood still holds the warmth from the whole afternoon,
11 before | You step in close before the rain gets worse,
11 before | Trading names before the six-oh-five,
11 light | Headlights smear across the shining street,
11 light | The streetlight flickers on above the corner,
12 before | Before the Leaves Are Gone,
12 before | Before the Leaves Are Gone,
12 before | Before the Leaves Are Gone,
12 before | Before the Leaves Are Gone.
13 every | Every stranger's face has worn your name,
13 every | Every worried night behind me,
13 every | Every mile behind me disappears,
13 every | Everything I hoped for standing here,
13 before | Moves through the doorway before I can be sure.
13 still | Duffel bag still on your shoulder,
13 still | Both of us still holding tighter,
14 every | Your dress catches every strand of light,
14 every | Too full of everything to speak or see.
14 every | Every guest here fades away,
14 before | Before the DJ takes the stage,
14 before | Your hand finds mine before I even ask,
14 light | Your dress catches every strand of light,
15 every | Like she's finally found her balance in everything around her.
15 every | Every turn a little less afraid to fall.
15 before | She wobbles once before she finds her feet
15 before | He catches her before she hits the floor,
15 light | Colored lights are spinning overhead,
15 light | The rink lights dim a little for the slow song,
15 still | Both of us still standing steady,
15 still | Two unsteady hands still holding on,
